participant,trial,electrode,FRN,expectation.label,expectation,valence.label,valence,neuroticism,c.neuroticism,negative,positive,lo.neuroticism,hi.neuroticism
10,1,fz,8.645380973,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,1,cz,13.25296497,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,1,Fcz,11.03346729,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,2,Fcz,22.51501083,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
10,2,cz,25.14049721,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
10,2,fz,17.79061508,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
10,3,Fcz,10.5485878,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,3,cz,12.3365221,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,3,fz,8.06331444,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
10,4,fz,13.67721271,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
10,4,cz,18.38707543,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
10,4,Fcz,16.32435036,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
14,1,Fcz,4.00951576,expected,1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,1,cz,5.172030927,expected,1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,1,fz,1.12735486,expected,1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,2,fz,9.292721747,expected,1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
14,2,cz,13.51976395,expected,1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
14,2,Fcz,12.88747311,expected,1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
14,3,fz,3.853837727,unexpected,-1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,3,Fcz,6.666699887,unexpected,-1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,3,cz,7.293415067,unexpected,-1,negative,-1,2.6,-0.513636364,0,1,0.19112989,-1.218402617
14,4,fz,6.167540553,unexpected,-1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
14,4,cz,9.798295973,unexpected,-1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
14,4,Fcz,9.234083173,unexpected,-1,positive,1,2.6,-0.513636364,1,0,0.19112989,-1.218402617
15,1,fz,14.50323105,expected,1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,1,Fcz,13.7097168,expected,1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,1,cz,15.43574619,expected,1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,2,fz,20.85607529,expected,1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
15,2,Fcz,20.92196465,expected,1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
15,2,cz,20.14583206,expected,1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
15,3,fz,15.47985172,unexpected,-1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,3,cz,14.24243164,unexpected,-1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,3,Fcz,17.83856201,unexpected,-1,negative,-1,3.6,0.486363636,0,1,1.19112989,-0.218402617
15,4,cz,20.92328835,unexpected,-1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
15,4,fz,17.67975235,unexpected,-1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
15,4,Fcz,15.51879692,unexpected,-1,positive,1,3.6,0.486363636,1,0,1.19112989,-0.218402617
16,1,cz,16.61373711,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,1,fz,5.61511564,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,1,Fcz,11.77262783,expected,1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,2,cz,27.09707641,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
16,2,Fcz,24.022789,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
16,2,fz,17.54196358,expected,1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
16,3,cz,17.23731995,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,3,fz,6.646954533,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,3,Fcz,12.83162975,unexpected,-1,negative,-1,3.75,0.636363636,0,1,1.34112989,-0.068402617
16,4,Fcz,18.82677651,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
16,4,fz,12.9986763,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
16,4,cz,23.30177117,unexpected,-1,positive,1,3.75,0.636363636,1,0,1.34112989,-0.068402617
17,1,Fcz,10.56014633,expected,1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,1,cz,7.76686382,expected,1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,1,fz,9.966300967,expected,1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,2,fz,23.80965042,expected,1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
17,2,cz,26.55101013,expected,1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
17,2,Fcz,27.87633896,expected,1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
17,3,cz,9.761336327,unexpected,-1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,3,fz,9.720814707,unexpected,-1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,3,Fcz,10.75547791,unexpected,-1,negative,-1,2.55,-0.563636364,0,1,0.14112989,-1.268402617
17,4,fz,23.33897209,unexpected,-1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
17,4,cz,22.7888546,unexpected,-1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
17,4,Fcz,24.46043587,unexpected,-1,positive,1,2.55,-0.563636364,1,0,0.14112989,-1.268402617
19,1,fz,7.558816433,expected,1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,1,Fcz,11.21482849,expected,1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,1,cz,12.85520363,expected,1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,2,Fcz,12.10066414,expected,1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
19,2,fz,8.042787553,expected,1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
19,2,cz,15.29341602,expected,1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
19,3,cz,7.139004707,unexpected,-1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,3,Fcz,4.355142593,unexpected,-1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,3,fz,1.67668986,unexpected,-1,negative,-1,2.75,-0.363636364,0,1,0.34112989,-1.068402617
19,4,Fcz,17.96481514,unexpected,-1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
19,4,fz,14.90041161,unexpected,-1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
19,4,cz,19.2826252,unexpected,-1,positive,1,2.75,-0.363636364,1,0,0.34112989,-1.068402617
27,1,fz,9.026017187,expected,1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,1,cz,7.7654171,expected,1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,1,Fcz,9.06944752,expected,1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,2,Fcz,19.04723358,expected,1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
27,2,fz,20.67250252,expected,1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
27,2,cz,15.37398529,expected,1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
27,3,Fcz,7.80507612,unexpected,-1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,3,fz,8.318265913,unexpected,-1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,3,cz,8.397589687,unexpected,-1,negative,-1,1.95,-1.163636364,0,1,-0.45887011,-1.868402617
27,4,cz,21.41786957,unexpected,-1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
27,4,Fcz,22.66005897,unexpected,-1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
27,4,fz,23.32918167,unexpected,-1,positive,1,1.95,-1.163636364,1,0,-0.45887011,-1.868402617
30,1,cz,18.03879165,expected,1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,1,Fcz,16.30302048,expected,1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,1,fz,17.23357582,expected,1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,2,Fcz,12.7956295,expected,1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
30,2,cz,15.1390543,expected,1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
30,2,fz,12.74787331,expected,1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
30,3,fz,13.41883087,unexpected,-1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,3,cz,13.32179355,unexpected,-1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,3,Fcz,11.53836537,unexpected,-1,negative,-1,4.05,0.936363636,0,1,1.64112989,0.231597383
30,4,fz,19.36777115,unexpected,-1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
30,4,cz,20.15076637,unexpected,-1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
30,4,Fcz,17.96936989,unexpected,-1,positive,1,4.05,0.936363636,1,0,1.64112989,0.231597383
34,1,Fcz,6.229624747,expected,1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,1,cz,6.792897227,expected,1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,1,fz,2.214880707,expected,1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,2,fz,10.89967632,expected,1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
34,2,cz,16.96467972,expected,1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
34,2,Fcz,15.4918766,expected,1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
34,3,fz,6.144316673,unexpected,-1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,3,Fcz,7.727811813,unexpected,-1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,3,cz,11.00811577,unexpected,-1,negative,-1,3.55,0.436363636,0,1,1.14112989,-0.268402617
34,4,fz,5.958724973,unexpected,-1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
34,4,cz,12.46952534,unexpected,-1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
34,4,Fcz,10.17327309,unexpected,-1,positive,1,3.55,0.436363636,1,0,1.14112989,-0.268402617
36,1,Fcz,2.71181822,expected,1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,1,cz,3.245764253,expected,1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,1,fz,1.74598062,expected,1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,2,fz,4.859918593,expected,1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
36,2,cz,4.108457567,expected,1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
36,2,Fcz,4.72230244,expected,1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
36,3,fz,5.584739207,unexpected,-1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,3,cz,7.160130027,unexpected,-1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,3,Fcz,6.9199996,unexpected,-1,negative,-1,3.3,0.186363636,0,1,0.89112989,-0.518402617
36,4,fz,9.268754007,unexpected,-1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
36,4,cz,12.29638004,unexpected,-1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
36,4,Fcz,10.05648327,unexpected,-1,positive,1,3.3,0.186363636,1,0,0.89112989,-0.518402617
37,1,cz,22.52132416,expected,1,negative,-1,2.05,-1.063636364,0,1,-0.35887011,-1.768402617
37,1,fz,15.66048241,expected,1,negative,-1,2.05,-1.063636364,0,1,-0.35887011,-1.768402617
37,1,Fcz,23.67384339,expected,1,negative,-1,2.05,-1.063636364,0,1,-0.35887011,-1.768402617
37,2,Fcz,27.34719658,expected,1,positive,1,2.05,-1.063636364,1,0,-0.35887011,-1.768402617
37,2,fz,18.80732536,expected,1,positive,1,2.05,-1.063636364,1,0,-0.35887011,-1.768402617
37,2,cz,26.35484314,expected,1,positive,1,2.05,-1.063636364,1,0,-0.35887011,-1.768402617
