house	state	lastname	party	voting	money	ptyxmny	acres	gsp	n_reps	lobby
0	AK	Murkowski	1	.842105263157895	9.166	9.166	0	24.236	3	44
0	AK	Stevens	1	.846153846153846	0	0	0	24.236	3	44
1	AK	Young	1	.571428571428571	23.5	23.5	0	24.236	3	44
0	AL	Sessions	1	.871794871794872	-.8	-.8	0	109.833	9	50
0	AL	Shelby	1	.641025641025641	24.166	24.166	0	109.833	9	50
1	AL	Aderholt	1	.9	35	35	0	109.833	9	50
1	AL	Bachus	1	.666666666666667	3	3	0	109.833	9	50
1	AL	Callahan	1	.777777777777778	5.5	5.5	0	109.833	9	50
1	AL	Cramer	0	.888888888888889	14.05	0	0	109.833	9	50
1	AL	Everett	1	1	6	6	0	109.833	9	50
1	AL	Hilliard	0	.6	31	0	0	109.833	9	50
1	AL	Riley	1	1	37.5	37.5	0	109.833	9	50
0	AR	Hutchinson	1	.842105263157895	17.812	17.812	0	61.628	6	30
1	AR	Berry	0	.5	0	0	0	61.628	6	30
1	AR	Dickey	1	.9	0	0	0	61.628	6	30
1	AR	Hutchinson	1	.7	8	8	0	61.628	6	30
1	AR	Snyder	0	.3	0	0	0	61.628	6	30
0	AZ	Kyl	1	.82051282051282	19.25	19.25	0	133.801	8	70
0	AZ	McCain	1	.594594594594595	1	1	0	133.801	8	70
1	AZ	Hayworth	1	.6	20	20	0	133.801	8	70
1	AZ	Kolbe	1	.9	7.05	7.05	0	133.801	8	70
1	AZ	Pastor	0	.3	11	0	0	133.801	8	70
1	AZ	Salmon	1	.444444444444444	6.1	6.1	0	133.801	8	70
1	AZ	Shadegg	1	.9	4	4	0	133.801	8	70
1	AZ	Stump	1	.9	9.25	9.25	0	133.801	8	70
0	CA	Boxer	0	0	0	0	0	1118.945	55	155
0	CA	Feinstein	0	.102564102564103	0	0	0	1118.945	55	155
1	CA	Baca	0	1	21.05	0	0	1118.945	55	155
1	CA	Becerra	0	0	6.5	0	0	1118.945	55	155
1	CA	Berman	0	0	0	0	0	1118.945	55	155
1	CA	Bilbray	1	.4	22.5	22.5	0	1118.945	55	155
1	CA	Bono	1	.9	0	0	0	1118.945	55	155
1	CA	Brown	0	.2	5.5	0	0	1118.945	55	155
1	CA	Calvert	1	.8	21	21	0	1118.945	55	155
1	CA	Campbell	1	.125	1	1	0	1118.945	55	155
1	CA	Capps	0	.2	0	0	0	1118.945	55	155
1	CA	Condit	0	.5	18.25	0	0	1118.945	55	155
1	CA	Cox	1	.888888888888889	16	16	0	1118.945	55	155
1	CA	Cunningham	1	.777777777777778	8	8	0	1118.945	55	155
1	CA	Dixon	0	.25	1	0	0	1118.945	55	155
1	CA	Dooley	0	.4	21.299	0	0	1118.945	55	155
1	CA	Doolittle	1	.9	0	0	0	1118.945	55	155
1	CA	Dreier	1	1	5.5	5.5	0	1118.945	55	155
1	CA	Eshoo	0	0	0	0	0	1118.945	55	155
1	CA	Farr	0	.2	0	0	0	1118.945	55	155
1	CA	Filner	0	.111111111111111	1	0	0	1118.945	55	155
1	CA	Gallegly	1	.7	1.5	1.5	0	1118.945	55	155
1	CA	Herger	1	1	31.5	31.5	0	1118.945	55	155
1	CA	Horn	1	.5	0	0	0	1118.945	55	155
1	CA	Hunter	1	1	2.25	2.25	0	1118.945	55	155
1	CA	Kuykendall	1	.6	0	0	0	1118.945	55	155
1	CA	Lantos	0	.111111111111111	0	0	0	1118.945	55	155
1	CA	Lee	0	.142857142857143	0	0	0	1118.945	55	155
1	CA	Lewis	1	1	19.5	19.5	0	1118.945	55	155
1	CA	Lofgren	0	.222222222222222	0	0	0	1118.945	55	155
1	CA	Martinez	0	.444444444444444	.5	0	0	1118.945	55	155
1	CA	Matsui	0	.2	1	0	0	1118.945	55	155
1	CA	McKeon	1	.8	0	0	0	1118.945	55	155
1	CA	Millender-McDonald	0	.2	1	0	0	1118.945	55	155
1	CA	Miller	1	1	22	22	0	1118.945	55	155
1	CA	Miller	0	0	0	0	0	1118.945	55	155
1	CA	Napolitano	0	0	.5	0	0	1118.945	55	155
1	CA	Ose	1	.8	0	0	0	1118.945	55	155
1	CA	Packard	1	1	0	0	0	1118.945	55	155
1	CA	Pelosi	0	0	0	0	0	1118.945	55	155
1	CA	Pombo	1	1	27	27	0	1118.945	55	155
1	CA	Radanovich	1	1	17	17	0	1118.945	55	155
1	CA	Rogan	1	.9	44.5	44.5	0	1118.945	55	155
1	CA	Rohrabacher	1	.8	4	4	0	1118.945	55	155
1	CA	Roybal-Allard	0	0	.5	0	0	1118.945	55	155
1	CA	Royce	1	.555555555555556	10.5	10.5	0	1118.945	55	155
1	CA	Sanchez	0	.2	6.5	0	0	1118.945	55	155
1	CA	Sherman	0	.1	0	0	0	1118.945	55	155
1	CA	Stark	0	0	0	0	0	1118.945	55	155
1	CA	Tauscher	0	.1	0	0	0	1118.945	55	155
1	CA	Thomas	1	.9	32	32	0	1118.945	55	155
1	CA	Thompson	0	.2	5.5	0	0	1118.945	55	155
1	CA	Waters	0	.111111111111111	1.5	0	0	1118.945	55	155
1	CA	Waxman	0	0	0	0	0	1118.945	55	155
1	CA	Woolsey	0	0	0	0	0	1118.945	55	155
0	CO	Allard	1	.82051282051282	23.5	23.5	0	141.791	8	65
0	CO	Campbell	1	.769230769230769	32.166	32.166	0	141.791	8	65
1	CO	DeGette	0	.1	0	0	0	141.791	8	65
1	CO	Hefley	1	.888888888888889	2.5	2.5	0	141.791	8	65
1	CO	McInnis	1	.9	-2	-2	0	141.791	8	65
1	CO	Schaffer	1	.8	5.5	5.5	0	141.791	8	65
1	CO	Tancredo	1	1	30	30	0	141.791	8	65
1	CO	Udall	0	.2	0	0	0	141.791	8	65
0	CT	Dodd	0	.0789473684210526	21.499	0	3.04	142.099	8	95
0	CT	Lieberman	0	.128205128205128	12	0	3.04	142.099	8	95
1	CT	DeLauro	0	.1	0	0	3.04	142.099	8	95
1	CT	Gejdenson	0	0	.5	0	3.04	142.099	8	95
1	CT	Johnson	1	.5	.5	.5	3.04	142.099	8	95
1	CT	Larson	0	0	.5	0	3.04	142.099	8	95
1	CT	Maloney	0	.1	0	0	3.04	142.099	8	95
1	CT	Shays	1	.4	.5	.5	3.04	142.099	8	95
0	DE	Biden	0	.114285714285714	0	0	0	33.735	3	35
0	DE	Roth	1	.58974358974359	43.75	43.75	0	33.735	3	35
1	DE	Castle	1	.4	0	0	0	33.735	3	35
0	FL	Graham	0	.128205128205128	0	0	5.8	418.851	25	113.5
0	FL	Mack	1	.717948717948718	11.75	11.75	5.8	418.851	25	113.5
1	FL	Bilirakis	1	.7	13	13	5.8	418.851	25	113.5
